run_id,stage,encoder,fusion,backbone,split_seed,init_seed,task,commutator,metric_name,metric_value,params
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,mech_f1,0.7640624999997973,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,0.0,coef_mae,0.22760658524930477,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,0.0,rel_l2_decompose,0.14353350806050003,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,172311.2539391332,rel_l2,0.1633241983363405,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,172311.2539391332,mech_f1,0.7588541666664728,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,172311.2539391332,coef_mae,0.2274524231615942,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,382272.7594726958,rel_l2,0.17390292778145522,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,382272.7594726958,mech_f1,0.7526041666664698,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,382272.7594726958,coef_mae,0.2427357961423695,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,721582.7054123809,rel_l2,0.17996762692928314,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,721582.7054123809,mech_f1,0.7281994047617179,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,721582.7054123809,coef_mae,0.25277148821623996,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,prediction,1359114.1334215156,rel_l2,0.22372967004776,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,1359114.1334215156,mech_f1,0.7338541666665004,3645232
20260705T020913Z-554330d1-cell054,A,lample_charton,xattn,transformer,3,0,discovery,1359114.1334215156,coef_mae,0.21905341147794388,3645232
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2,0.41553179919719696,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,mech_f1,0.7708333333331024,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,coef_mae,0.46738940421491865,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2,0.23371114442124963,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,mech_f1,0.6854166666665411,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,coef_mae,0.3648069228132954,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2,0.18562955653760582,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,mech_f1,0.5947916666665256,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,0.0,coef_mae,0.30925857892725617,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,0.0,rel_l2_decompose,0.5717895226553082,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,172311.2539391332,rel_l2,0.17683338187634945,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,172311.2539391332,mech_f1,0.5927083333331914,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,172311.2539391332,coef_mae,0.357406773196999,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,382272.7594726958,rel_l2,0.1886617779964581,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,382272.7594726958,mech_f1,0.6151041666665104,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,382272.7594726958,coef_mae,0.32976520160445943,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,721582.7054123809,rel_l2,0.19413555599749088,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,721582.7054123809,mech_f1,0.6255208333331765,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,721582.7054123809,coef_mae,0.33255861984798685,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,prediction,1359114.1334215156,rel_l2,0.23275676392950118,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,1359114.1334215156,mech_f1,0.7036458333331701,3644976
20260705T020826Z-554330d1-cell018,A,grammar_scrambled,xattn,transformer,1,0,discovery,1359114.1334215156,coef_mae,0.26621544890804216,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,0.0,rel_l2,0.3931868802756071,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,mech_f1,0.7968749999997669,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,coef_mae,0.4136556728743017,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,0.0,rel_l2,0.2612145747989416,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,mech_f1,0.7374999999998586,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,coef_mae,0.3906426747785493,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,0.0,rel_l2,0.19706216780468822,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,mech_f1,0.5713541666665284,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,0.0,coef_mae,0.3240927030274179,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,0.0,rel_l2_decompose,0.5726252030581236,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,172311.2539391332,rel_l2,0.1923315073363483,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,172311.2539391332,mech_f1,0.5781249999998621,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,172311.2539391332,coef_mae,0.3598364295648935,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,prediction,382272.7594726958,rel_l2,0.20459226705133915,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,382272.7594726958,mech_f1,0.5942708333331839,3644976
20260705T020826Z-554330d1-cell020,A,grammar_scrambled,xattn,transformer,1,2,discovery,382272.7594726958,coef_mae,0.33688338298452436,3644976
